sim0,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9
44.7615,55.8326,46.8691,57.7171,60.4185,39.7949,52.0066,53.2489,57.7212,42.3805
45.1201,56.2419,47.5658,56.5671,59.3317,39.8354,51.6535,52.7384,57.1003,42.3583
45.1175,57.7137,47.7224,56.9127,59.2146,39.7526,52.534,52.2796,57.5516,41.0945
45.0851,56.9442,48.0966,57.7486,59.3381,39.5596,50.9179,51.2035,57.4849,41.1196
45.3939,56.6728,47.6498,56.2204,57.8633,39.1434,50.7675,51.2565,57.5828,41.1669
44.7838,56.842,46.8103,57.0175,58.4927,40.0918,51.6992,50.9564,57.4928,41.2515
45.018,57.02,46.3789,57.2232,58.2274,40.2814,51.738,51.1391,56.7125,40.8327
45.1855,55.8992,47.4511,57.6156,58.709,41.6025,51.479,49.9601,56.53,41.5175
44.5213,56.651,47.4408,57.396,59.2823,42.2849,51.7169,49.9514,57.448,41.6814
43.6298,56.8043,47.9895,57.0535,59.9623,42.2217,51.2258,49.2513,58.3951,41.4957
43.3548,56.7431,47.9531,57.7093,59.6865,42.4518,50.8123,49.1481,58.1998,41.9378
44.8489,56.5895,47.7844,58.259,59.6334,42.5154,49.3537,48.8966,59.7577,42.0301
45.7449,58.1889,48.0007,58.5511,58.7396,42.6647,50.188,48.9448,59.3132,41.1986
46.4102,57.305,47.9136,57.6177,59.3344,43.1201,50.3815,48.4811,57.9686,40.4133
46.227,57.2623,47.0021,57.6411,60.1108,43.8554,50.3062,48.6741,58.8329,39.9982
46.3753,56.9866,47.2356,57.0887,59.9502,44.499,50.61,47.8501,57.8857,40.7648
46.283,57.5993,48.2713,56.9322,59.1895,44.2402,50.2032,47.1268,57.8869,41.2763
46.9156,57.895,48.5981,57.6728,59.5214,44.5481,48.5548,47.091,57.829,41.8108
47.2262,58.5582,49.2721,58.827,59.644,45.0788,48.0099,47.2472,58.1398,41.8158
46.1213,58.6884,49.1881,58.7671,60.3878,45.2331,47.9716,47.3294,58.5331,42.7078
46.5931,60.6949,49.3795,59.6348,59.9357,45.5183,47.3961,48.3562,58.4871,43.2023
47.1227,60.8295,49.5562,59.3379,59.3538,45.5315,47.5933,48.4583,58.4659,42.905
46.8141,60.9579,50.4211,57.2757,58.153,44.5035,47.0089,48.6627,59.0583,42.7191
